id,file,page_link,page_number,marginal_text,merged,text_line
i-T7WfefZaHtLFNavdM5oL4B,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,"Den 5 Maj, f, m. 189"
i-D8hAQUWqLKC3nV8iPqv6Nz,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,Herr Westman:
i-8KLYZvkoQZoe6AkPyLiKD3,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,"På grund af erhållet uppdrag utaf Herr Landshöfding Munthe, får jag å hans vägnar anhålla, att honom måtte beviljas 14 dagars ledighet från riksdagsgöromålen, räknad från den 5 i dennå månad."
i-Qz6dt6EmApgaxCYM1Ug2cr,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,Med anledning häraf beviljade Kammaren Herr Munthe ledighet från riksdagsgöromålen under 14 dagar från den 5 dennes.
i-PC5eRMY5ukA6buVNuMJSRP,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,Kammaren åtskiljdes kl. 11 e. m.
i-3VouiRncvmPoQQJZZtX2Xk,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,In fidem 0. Brakel.
i-JP8DXNm1SS2z7duid33UgZ,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,Onsdagen den 5 Maj 1869.
i-8LiWgqhWdyEgDBucZBFBJB,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,Kammaren sammanträdde kl. 10 f. m.
i-XLzUWREV16miY4NrtjWzuU,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,Justerades 4 protokollsutdrag för den 3 dennes och protokollet för den 21 sistlidne April f. m.
i-DKGrfmk5HhoBsUAkAMGBhz,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,Upplästes och godkändes Bevillnings-Utskottets förslag till Riksdagens underdåniga skrifvelser:
i-KNh6xrmtdebzCVeJGj4uPR,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,"N:o 41, angående förändring af Kongl. Maj:ts nådiga Förordning af den 26 Oktober 1866, rörande vilkoren för försäljning af bränvin och andra brända eller distillerade spirituösa drycker;"
i-Utc5RsTuiGRG1ZMtj8u5DD,riksdagen-records\data\1869\prot-1869--fk--0503.xml,https://betalab.kb.se/prot-1869--fk--0503/prot_1869__fk__0503-045.jp2/_view ,46,0.0,0.0,"N:o 42, angående tullbevillningen; och N:o 43, angående stämpelpappersafgiften."
i-FyfFaNTGVeabWJ6dcLA7Ho,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"Den 27 Mars, e. m, 555"
i-TRW1GEwRV8FfLmFn7YUMwK,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,Herr Friherre Alströmer:
i-NaNL8WTdjNmqfKry1grgu6,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"Jag fruktar, att Herr Hedlund missförstått Herr Talmannens framställning. Under diskussionen hafva blott två yrkanden gjorts, hvilka åsyftat bifall eller afslag å Herr Keys förslag om en underdånig skrifvelse."
i-HqcVhAq3rSqiJWhsf48fPE,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"Sedan, i anledning af Herr Hedlunds anförande, Herr Talmannen erinrat, att något yrkande af sådan beskaffenhet, som det af Herr Hedlund nu gjorda, icke blifvit under den föregående diskussionen framstäldt, och följaktligen, sedan öfverläggningen i ämnet redan förklarats slutad, numera icke kunde till pröfning upptagas, blef, rörande Herr Keys förslag uppsatt en så lydande voteringsproposition:"
i-SZyX3SQgEUMTyNNJBEuW6,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"Den, som anser, att Kammarens öfver mom. a, i 35 punkten af Stats- Utskottets Utlåtande N:o 36 nyss fattade beslut bör, på sätt Herr Key föreslagit, åtföljas at en underdånig: skrifvelse till Kongl. Maj:t, uttryckande den åsigt, att gevärsfabrikationen företrädesvis bör inom landet verkställas, och inhemska fabrikanter för sådant ändamål inbjudas till täflan om densamma,"
i-SRBFFeLdLRWW2euumGLhEg,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"röste ja; Den, det ej vill, | röste nej;"
i-HV7LjAfnn6MRB5acDotfXy,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"Vinner nej, har frågan om någon sådan skrifvelses aflåtande förfallit."
i-4d56GDQj11c4AdgZYGv7tk,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"Omröstningen utvisade, vid sedlarnes uppräknande, 106 ja mot 38 nej; och hade Kammaren alltså beslutat aflåtandet af en sådan underdånig skrifvelse, som Herr Key föreslagit."
i-6QxczQpcHjUQT3xkXXFBfs,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,§ 7. Till bordläggning första gången anmäldes: Konstitutions-Utskottets Memorial N:is 8 och 9; Lag-Utskottets Utlåtanden N:is 53—58; Andra Kammarens Tillfälliga Utskotts (N:o 5) Utlåtanden N:is 5 och 6 (i samlingen N:is 30 och 31).
i-2JdPN3dbMmicdkNsKf63pR,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,"Kammarens ledamöter åtskiljdes kl. !/, 1 f. m."
i-DQ7M4wQ2EDaEoFLiBg6RSm,riksdagen-records\data\1867\prot-1867--ak--0327.xml,https://betalab.kb.se/prot-1867--ak--0327/prot_1867__ak__0327-086.jp2/_view ,87,0.0,0.0,In fidem H. Husberg.
i-KFmk3E72tm91MJkpCYXFkJ,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,Rättelser:
i-PWsVYu4mPdEBxwysoXJwsr,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,Band. 1 sid. 313 rad. 13 nedifr. står: de principer konservativa kirurgen »
i-E8pQrAuyxhWwNFQAwMkcr8,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,»”»
i-DnhruQvLr4hTbPqUaMxR3f,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,Band.
i-PK5XDBBPnsaBUgRvd1UxzG,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,» » 356 2 sid. 36 ”» » 64 » ” »”»
i-4W1wc7BL7xwC8n9n5RZdPw,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,» » 187
i-4nS9gAxrNegWT9tp14xq46,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,”
i-MJMhssXphMQwpifMesQWxi,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,»
i-WGt7xXSCVg8gwVp5jMzKKx,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,»
i-Q17YYVRdfYFgSiA8hwM9iJ,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,3 uppifr. 3 nedifr. 8 uppifr. 17 nedifr.
i-UmHANZpK8TtWrthP386uCS,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,13 oo»
i-SD4d8q1zsUPS6FVFQQKEgU,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,18 uppifr.
i-RKHE6fihpVCLSqwxiePN2E,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,»”
i-TMwJ7wADLB3zVPGQGgYsPt,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,innan det åtager sig hatade
i-XHE1Er7fTaWbKK2ThQBB3Y,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,har utgjort
i-YZKEipqmByPaEg6LENF4PK,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,exporten 1864
i-8CdA3gQDRzu5u4Bo5rtK9K,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,anslag
i-EkcNhGyXsM58geQ95DmWzw,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,läg:
i-5r6vYJkoJXGuZU3F4tyjCb,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,»”
i-Vz88JVdwQM3C5W75xZsJx7,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,den principen konservativa kirurgien då det åtager sig hotade
i-Tv2F3owSxs7ccYZaqn8M5X,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,har uppgått till exporten 1864 till d:o
i-Df44w3Z8Ty6PkiR96rksNQ,riksdagen-records\data\1868\prot-1868--ak--0321.xml,https://betalab.kb.se/prot-1868--ak--0321/prot_1868__ak__0321-074.jp2/_view ,75,0.0,0.0,anlag
i-WrdBjY9TfKSpkYss2cCRr7,riksdagen-records\data\1874\prot-1874--fk--0514.xml,https://betalab.kb.se/prot-1874--fk--0514/prot_1874__fk__0514-008.jp2/_view ,9,0.0,0.0,Den 14 Maj. 97
i-9M3GqbeU3f9uzyTAMxc3Nv,riksdagen-records\data\1874\prot-1874--fk--0514.xml,https://betalab.kb.se/prot-1874--fk--0514/prot_1874__fk__0514-008.jp2/_view ,9,0.0,0.0,"sorer vid Diskontkontoret i Stockholm samt lånekontoren i orterna"" gällande instruktion."
i-8CB7ap7vsPuSFx1m2LjVGa,riksdagen-records\data\1874\prot-1874--fk--0514.xml,https://betalab.kb.se/prot-1874--fk--0514/prot_1874__fk__0514-008.jp2/_view ,9,0.0,0.0,"Herr Grefven och Talmannen hemställde, att de i dag för första gången bordlagda ärenden måtte sättas främst på föredragningslistan för nästa sammanträde; hvilket bifölls."
i-LhXKwucRZRU73iXQnCEu66,riksdagen-records\data\1874\prot-1874--fk--0514.xml,https://betalab.kb.se/prot-1874--fk--0514/prot_1874__fk__0514-008.jp2/_view ,9,0.0,0.0,"Justerades fyra protokollsutdrag för denna dag; hvarefter Kammaren åtskildes kl. 1/,3 e. m."
i-VKZtCtfoLDam6JqsuXy3op,riksdagen-records\data\1874\prot-1874--fk--0514.xml,https://betalab.kb.se/prot-1874--fk--0514/prot_1874__fk__0514-008.jp2/_view ,9,0.0,0.0,In fidem 0. Brakel.
i-JiMGUQ7Kiksm7sRFQ4ffyp,riksdagen-records\data\1874\prot-1874--fk--0514.xml,https://betalab.kb.se/prot-1874--fk--0514/prot_1874__fk__0514-008.jp2/_view ,9,0.0,0.0,Riksd. Prot. 1874. 1 Afd. 4 Band. 7
i-KDAsaFWKS4aCBhXUFpZ7or,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,206 Den 29 Mars. c m.
i-EZ6THb7TsHTZovk1JsYjLu,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,"skulle kunna blifva lidande, men Jag är öfvertygad att Kongl. Maj:t skall se till, att metoden tillämpas på det sätt, att ej någon gör nämnvärd förlust derpå. Jag skall ej längre uppebålla Kammaren utan ber endast att få instämma i den reservation. som af Herr Asplund afgifvits."
i-Mv8jX9quFXo1PALtmAUa9X,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,Herr Bennich:
i-RU3JL8CyigfKVSnXoDSXv6,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,"I aldra största korthet ber Jag att få angifva de skäl, som föranleda mig att dela den åsigt, som omfattats at reservanten och Andra Kammaren. Jag har mig fullt bekant, at; decimalindelningen redan är införd i dagböckerna i Sveriges nordligaste län, oaktadt milstolparne derstädes stå qvar på sina gamla platser, att såmma indelning äfven är införd på några nya vägar i Södermanland, samt att man på dessa ställen till fullo erfarit, huru beqväm nämnda beräkning är både i afseende å skjutslegan och vid uppgörandet af reseräkningar, och jag kan ej tro, att hvad som går an i Norrland och mellersta Sverige ej skulle gå an i det öfriga Sverige."
i-GNpB6nnZvzKHaC9DQq2c4e,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,Jag tillåter mig hemställa om: bifall till Andra Kammarens praktiska beslut.
i-UmnRcuMtetm5Sgjz6XvBYu,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,"Sedan öfverläggningen härefter förklarats slutad samt Herr Grefven och Talmannen yttrat, att under densamma hade yrkats dels bifall till förevarande utlåtande och dels att Kammaren, med afslag derå, skulle antaga Andra Kammarens i frågan fattade beslut; framställde Herr Grefven och Talmannen först proposition på bifall till utlåtandet, hvarvid svarades många nej jemte några i och sedermera proposition på afslag derå samt antagande af Andra Kammarens beslut, då svaren utföllo med många ja jemte några nej; och förklarades ja nu hafva varit öfvervägande."
i-Hn6zK1CNSpMC6iryvkaHFn,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,"Uppå Herr Grefven och 'Talmannens hemställan beslöt Kammaren, att de i dag första gången bordlagda ärenden skulle uppföras främst å föredragningslistan till nästa sammanträde."
i-K9vno44iyVQitVxNRwjgj4,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,Kammaren åtskiljdes kl. 11 e. m.
i-Xsp3QUgJxPuCcyYRUZoH3o,riksdagen-records\data\1873\prot-1873--fk--0329.xml,https://betalab.kb.se/prot-1873--fk--0329/prot_1873__fk__0329-092.jp2/_view ,93,0.0,0.0,In fidem 0. Brakel.
i-6mA1g8DHHXkfVbXbe4dHJJ,riksdagen-records\data\1878\prot-1878--ak--047.xml,https://betalab.kb.se/prot-1878--ak--47/prot_1878__ak__47-047.jp2/_view ,48,0.0,0.0,N:o 47. 48 Onsdagen den 1 Maj.
i-Nci1XjWidmYux1uvxWEvhR,riksdagen-records\data\1878\prot-1878--ak--047.xml,https://betalab.kb.se/prot-1878--ak--47/prot_1878__ak__47-047.jp2/_view ,48,0.0,0.0,"Banko-Utskottets memorial N:o 15, angående instruktionen för nästkommande Riksdags Banko-Utskott."
i-MqZg3Lr8dYdg1LvKkyxjST,riksdagen-records\data\1878\prot-1878--ak--047.xml,https://betalab.kb.se/prot-1878--ak--47/prot_1878__ak__47-047.jp2/_view ,48,0.0,0.0,§ 6.
i-SRu2BFnQKzqA4tDgU52oFL,riksdagen-records\data\1878\prot-1878--ak--047.xml,https://betalab.kb.se/prot-1878--ak--47/prot_1878__ak__47-047.jp2/_view ,48,0.0,0.0,"Justerades protokollsutdrag; hvarefter Kammarens ledamöter åtskildes kl. ”/, 2 e. m."
i-8bgmJBc3S6hxWnFQ6VCFjf,riksdagen-records\data\1878\prot-1878--ak--047.xml,https://betalab.kb.se/prot-1878--ak--47/prot_1878__ak__47-047.jp2/_view ,48,0.0,0.0,In fidem Gustaf Westdahl.
i-XWD26vYTumwwMSjuPVVTFa,riksdagen-records\data\1878\prot-1878--ak--047.xml,https://betalab.kb.se/prot-1878--ak--47/prot_1878__ak__47-047.jp2/_view ,48,0.0,0.0,"STOCKHOHM, TRYCKT I CENTRAL-TRYCKERIET, 1878."
