id,file,page_link,page_number,marginal_text,merged,text_line
i-Y7tNJURmdHVVQFZ3doTSWu,riksdagen-records\data\1886\prot-1886--fk--024.xml,https://betalab.kb.se/prot-1886--fk--24/prot_1886__fk__24-040.jp2/_view ,41,0.0,0.0,"Allt detta vittnar om, att det är ett så trängande behof för öfre Norr-"
i-A7EWV1Y6CjYpw54FjpJhAt,riksdagen-records\data\1870\prot-1870--fk--0217.xml,https://betalab.kb.se/prot-1870--fk--0217/prot_1870__fk__0217-005.jp2/_view ,6,0.0,0.0,"N:o 13, i anledning af väckt motion angående de uti löner ingående räntepersedlars förvandling i penningar efter samma grund som för ränta och tionde; samt"
i-VsKkUtsVFXCEgyPPMUNGyd,riksdagen-records\data\1880\prot-1880--fk--006.xml,https://betalab.kb.se/prot-1880--fk--6/prot_1880__fk__6-003.jp2/_view ,4,0.0,0.0,till följd hvaraf Herr Advokatfiskalen T. A. Billbergh blifvit till Riksdagens Justitie-ombudsmans efterträdare utsedd.
i-WWNawZe1xqjXssYhCrjEcj,riksdagen-records\data\1915\prot-1915--ak--047.xml,https://betalab.kb.se/prot-1915--ak--47/prot_1915__ak__47-000.jp2/_view ,1,0.0,0.0,"Herr talman! Det är för en stor landsända ett oerhört viktigt och i såväl statens som den enskildes ekonomiska liv djupt ingripande förslag, som vi nu gå att överlämna till jordbruksutskottet."
i-25utDKyY9A6uhry7khWp2L,riksdagen-records\data\1959\prot-1959--ak--012.xml,https://betalab.kb.se/prot-1959--ak--12/prot_1959__ak__12-039.jp2/_view ,40,0.0,0.0,Det är framför allt med denna motivering som utskottet har anslutit sig till Kungl. Maj:ts förslag på den här punkten. Jag ber att få yrka bifall till utskottets förslag.
i-9yMWoJVCFqkj4q8PG9VKX,riksdagen-records\data\1971\prot-1971--076.xml,https://betalab.kb.se/prot-1971--76/prot_1971__76-005.jp2/_view ,6,1.0,1.0,suppleant (för herr Hernelius) 5 maj 1971
i-HU6QZES626oyLBd8ujPs6o,riksdagen-records\data\1920\prot-1920--ak--044.xml,https://betalab.kb.se/prot-1920--ak--44/prot_1920__ak__44-039.jp2/_view ,40,0.0,0.0,1
i-Mhj6jjmvHmXhSLB4RSkSu9,riksdagen-records\data\1893\prot-1893--fk--023.xml,https://betalab.kb.se/prot-1893--fk--23/prot_1893__fk__23-013.jp2/_view ,14,1.0,0.0,"14 Lördagen den 8 April, e. m."
i-XhG8hUWJ5ziGp9j6YvgU1m,riksdagen-records\data\198182\prot-198182--039.xml,https://betalab.kb.se/prot-198182--39/prot_198182__39-018.jp2/_view ,19,0.0,0.0,"om inflationsskydd, sådan den ser ut. Om ingenting inträffar gäller lagen alltså bortom 1985."
i-68c6zCR21YjxU467Y1QPWY,riksdagen-records\data\1945\prot-1945--ak--036.xml,https://betalab.kb.se/prot-1945-höst-ak--36/prot_1945_höst_ak__36-017.jp2/_view ,18,0.0,0.0,Denna anhållan bordlades.
