id,file,page_link,page_number,marginal_text,merged,text
i-HtdMcBse3QB858J6XXy8es,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,1.0,0.0,354 Den 8 Maj.
i-FFWNJoQekcbTfEWRUJwiVE,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"I öfrigt vill jag med några ord bemöta en talare till venster om mig, Herr Rosenberg. Han yttrade, bland annat, att anledningen hvarför å jordbruksfastighet satts lägre bevillning än å andra beskattningsföremål vore den, att jordbruksfastigheterna funnes besvärade med en mängd onera, som icke syntes på debetsedeln. Detta kan jag visserligen medgifva, men får då på samma gång erinra, att besittning at jordbruksfastighet medför åtskilliga fördelar, som vanligen icke uppmärksammas, men hvilka införandet af ett ordentligt jordbruksbokhålleri skulle ådagalägga. Så t. ex. lemnar sådan fastighet fri bostad och nära nog fri brödföda, hvilka förmåner jordbrukaren icke gerna tager medi beräkningen. Samme talare förmanade Kammaren att icke stillatigande eller godvilligt åtaga sig en förhöjd beskattning. Här är icke fråga om att stadga någon beskattning å Kammaren utan att bestämma en billigare och rättvisare grund, än den nu gällande för utgörande af landstingsskatten. Jag törstår icke, huru Herr Rosenberg kan förutsätta, att Kammaren skulle kunna stillatigande fatta sitt beslut i ämnet; än mindre huru det skulle ske annorlunda än med Kammarens goda vilja. Hvem skulle väl drista sig att öfva något tvång å denna högt ärade Kammare? åtminstone icke Lag-Utskottet, om ej genom det tvingande i motiveringen. |"
i-3pp4stp3AZcew7X5Uo5bHX,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Vidare yttrade Herr Rosenberg, att den af Lag-Utskottet nu föreslagna grund för fördelning af landstingsskatten icke i allmänhet gillats af landstingen, utan endast godkänts och tillämpats i de särskilda fall, då uttaxerade landstingsmedel ansetts företrädesvis komma jordbruket till godo, men detta är icke med sanna förhållandet öfverensstämmande, ty då de särskilda landstingens yttrande i förevarande ämne af Kongl. Maj:t infordrades, var billighetskänslan hos 16 landsting så stark, att de uttalade sig för bifall till den nu föreslagna taxeringsgrunden."
i-6PBniiVMoP2BcYxfrBuBYT,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Samme talare har slutligen yttrat att i det län han tillhör anslaget till uppförande af sjukhus företrädesvis kommit städerna till godo, men icke heller denna uppgift är rigtig, enär den stad, der länslasarettet blifvit förlagdt, måste betala särskildt 500 riksdaler för 8 sängar åt sina sjuka, hvartill kommer att i städerna fertalet. sjuka vårdas 1 sina hem. Jag hyser visserligen icke något hopp om framgång åt Lag-Utskottets förslag, men jag måste dock uttala den åsigt, jag hyser, att detsamma är fotadt på billighet och rättvisa; hvadan jag yrkar bifall till Betänkandet."
i-W59xhNAr48UQzmkFdmjFpU,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,Herr Bundbäck:
i-SoE3TWAoooAZdX3ECR27FP,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Då det redan blifvit bestämdt, att landstingsskatten skall utgå, efter hvad i lag angående öfriga kommunalskatter stadgadt är, samt, för den händelse medel komma att af ett eller annat landsting anslås, som särskildt röra land eller stad, landstinget ju eger bestämma efter hvilka grunder dessa medel böra utgå, hvartill slutligen kommer att det visar sig det någon ändring i röstberäkningsgrunden till fördel för jordbruket icke kunnat åstadkommas, så yrkar jag afslag å Utlåtandet och bibehållande af nu gällande stadganden i oförändradt skick."
i-Wf6pdojAxkJ8qz8AAKx77N,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,Herr Carl Ifvarsson:
i-7fTAoZMFoy8Qc8Kh4ymKAU,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Under såväl föregående som detta riksmöte har man städse betonat jordbrukets närvarande betryckta ställning, och ehuru jag icke vill påstå, att dessa klagomål i allo ega sin giltighet, kan jag dock icke förneka, att de till en del äro berättigade, åtminstone så"
i-PjTm1ueh2asdhcfYJBXbtP,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,1.0,0.0,66 Den 25 Januari.
i-2eZ3gGfnZ7MLR1CNANKigP,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 12, med delgifvande af Första Kammarens tillfälliga Utskotts Utlåtanden:"
i-CyUnbrhuBte6uU3wLPneJ4,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 1, i anledning af förslag om Talmans-sammanträden;"
i-2uMoGiLvafr8X5E3fHHPA9,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 2, i anledning af förslag angående tryckningen af Riksdagens handlingar ; samt"
i-44oE4S3WCwWAhNdRAkLh4q,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 3, i anledning af förslag om öfverlemnande åt Talmännen att första gången sammankalla Kamrarnes gemensamma Utskott."
i-EikwYtnpQcextB1sv1rtrS,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,Sammanträdet afslutades kl. 9 e. m.
i-8oXuLmBKSi4gjbPm1hSLFE,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,In fidem H. Husberg. Fredagen den 25 Januari. Kl. 10 f. m. & I. Protokollet för den 22 i denna månad justerades och godkändes. g 2.
i-RjBbzxKrFU7WdvkBbwPE5T,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,Herr Talmannen yttrade:
i-QePcS2vq1aPEqamjm2WjPb,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"Innan jag öfvergår till föredragning af de ärenden, som hvila på bordet, får jag hemställa, huruvida icke Första Kammarens tillfälliga Utskotts, i nästföregående plenum bordlagda Utlåtande N:o 3, i anledning af väckt förslag om öfverlemnande åt Talmännen att första gången sammankalla Kamrarnes gemensämma Utskott, måtte, såsom varande ett ärende af brådskande beskaffenhet, i morgondagens sammanträde företagas till behandling framför något annat ärende och således sättas främst på föredragningslistan."
i-5R1rD7yNuqWoWXPQiQcVQ2,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,Den af Herr Talmannen sålunda gjorda hemställan blef af Kammaren bifallen.
i-WjB3Qp7z5yBdTfAGGC6x1K,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,§ 3.
i-DdB6FDckJGW3eDG1Ua243p,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"Företogos nu val af suppleanter i nedannämnda Utskott, dervid utsågos:"
i-NZKjydC11BJ2qfk9QxV9ue,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,å Konstitutions-Utskottet:
i-QSszZGzPisS3Q6DzfThjcr,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"Herr O. G. Hedengren med. .....s.c. 95 röster, Ås SJÖDErA vo so r REK BARR 90 . Friherre I. Koskull - s.scsccccs 80 oo» ss CO JF BRAdErSlAd vo sv son 8 RR or 79 » och"
i-4TQkhY9X7tNToGkr2WZXzX,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,» Ola Bosson Olsson. «ss rss scr TT og
i-TMYQoZYFzpYYAahqzoUwvW,riksdagen-records\data\1867\prot-1867--fk--0313.xml,https://betalab.kb.se/prot-1867--fk--0313/prot_1867__fk__0313-021.jp2/_view ,22,1.0,0.0,Den 13 Mars. 123
