id,file,page_link,page_number,marginal_text,merged,text_line,posLeft,posUpper,posRight,posLower
i-HtdMcBse3QB858J6XXy8es,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,1.0,0.0,354 Den 8 Maj.,152.2491349480969,61.96019526849418,569.204152249135,74.72775065715359
i-FFWNJoQekcbTfEWRUJwiVE,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"I öfrigt vill jag med några ord bemöta en talare till venster om mig, Herr Rosenberg. Han yttrade, bland annat, att anledningen hvarför å jordbruksfastighet satts lägre bevillning än å andra beskattningsföremål vore den, att jordbruksfastigheterna funnes besvärade med en mängd onera, som icke syntes på debetsedeln. Detta kan jag visserligen medgifva, men får då på samma gång erinra, att besittning at jordbruksfastighet medför åtskilliga fördelar, som vanligen icke uppmärksammas, men hvilka införandet af ett ordentligt jordbruksbokhålleri skulle ådagalägga. Så t. ex. lemnar sådan fastighet fri bostad och nära nog fri brödföda, hvilka förmåner jordbrukaren icke gerna tager medi beräkningen. Samme talare förmanade Kammaren att icke stillatigande eller godvilligt åtaga sig en förhöjd beskattning. Här är icke fråga om att stadga någon beskattning å Kammaren utan att bestämma en billigare och rättvisare grund, än den nu gällande för utgörande af landstingsskatten. Jag törstår icke, huru Herr Rosenberg kan förutsätta, att Kammaren skulle kunna stillatigande fatta sitt beslut i ämnet; än mindre huru det skulle ske annorlunda än med Kammarens goda vilja. Hvem skulle väl drista sig att öfva något tvång å denna högt ärade Kammare? åtminstone icke Lag-Utskottet, om ej genom det tvingande i motiveringen. |",129.75778546712803,87.87082238077356,918.1084198385237,402.92902741269245
i-3pp4stp3AZcew7X5Uo5bHX,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Vidare yttrade Herr Rosenberg, att den af Lag-Utskottet nu föreslagna grund för fördelning af landstingsskatten icke i allmänhet gillats af landstingen, utan endast godkänts och tillämpats i de särskilda fall, då uttaxerade landstingsmedel ansetts företrädesvis komma jordbruket till godo, men detta är icke med sanna förhållandet öfverensstämmande, ty då de särskilda landstingens yttrande i förevarande ämne af Kongl. Maj:t infordrades, var billighetskänslan hos 16 landsting så stark, att de uttalade sig för bifall till den nu föreslagna taxeringsgrunden.",129.18108419838524,402.5535110777319,919.8385236447521,533.6087119789711
i-6PBniiVMoP2BcYxfrBuBYT,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Samme talare har slutligen yttrat att i det län han tillhör anslaget till uppförande af sjukhus företrädesvis kommit städerna till godo, men icke heller denna uppgift är rigtig, enär den stad, der länslasarettet blifvit förlagdt, måste betala särskildt 500 riksdaler för 8 sängar åt sina sjuka, hvartill kommer att i städerna fertalet. sjuka vårdas 1 sina hem. Jag hyser visserligen icke något hopp om framgång åt Lag-Utskottets förslag, men jag måste dock uttala den åsigt, jag hyser, att detsamma är fotadt på billighet och rättvisa; hvadan jag yrkar bifall till Betänkandet.",129.18108419838524,534.3597446488923,917.5317185697809,665.4149455501315
i-W59xhNAr48UQzmkFdmjFpU,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,Herr Bundbäck:,152.2491349480969,61.96019526849418,569.204152249135,74.72775065715359
i-SoE3TWAoooAZdX3ECR27FP,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Då det redan blifvit bestämdt, att landstingsskatten skall utgå, efter hvad i lag angående öfriga kommunalskatter stadgadt är, samt, för den händelse medel komma att af ett eller annat landsting anslås, som särskildt röra land eller stad, landstinget ju eger bestämma efter hvilka grunder dessa medel böra utgå, hvartill slutligen kommer att det visar sig det någon ändring i röstberäkningsgrunden till fördel för jordbruket icke kunnat åstadkommas, så yrkar jag afslag å Utlåtandet och bibehållande af nu gällande stadganden i oförändradt skick.",128.60438292964244,682.3131806233571,916.3783160322953,812.9928651896357
i-Wf6pdojAxkJ8qz8AAKx77N,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,Herr Carl Ifvarsson:,152.2491349480969,61.96019526849418,569.204152249135,74.72775065715359
i-7fTAoZMFoy8Qc8Kh4ymKAU,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-007.jp2/_view ,8,0.0,0.0,"Under såväl föregående som detta riksmöte har man städse betonat jordbrukets närvarande betryckta ställning, och ehuru jag icke vill påstå, att dessa klagomål i allo ega sin giltighet, kan jag dock icke förneka, att de till en del äro berättigade, åtminstone så",126.87427912341407,829.8911002628614,915.2249134948097,895.6064588809613
i-PjTm1ueh2asdhcfYJBXbtP,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,1.0,0.0,66 Den 25 Januari.,164.81069042316258,55.640243902439025,604.6770601336303,66.69207317073172
i-2eZ3gGfnZ7MLR1CNANKigP,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 12, med delgifvande af Första Kammarens tillfälliga Utskotts Utlåtanden:",144.20935412026725,82.31707317073172,918.7082405345211,112.8048780487805
i-CyUnbrhuBte6uU3wLPneJ4,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 1, i anledning af förslag om Talmans-sammanträden;",192.65033407572383,115.47256097560977,798.9977728285078,131.09756097560975
i-2uMoGiLvafr8X5E3fHHPA9,riksdagen-records\data\1867\prot-1867--ak--0125.xml,https://betalab.kb.se/prot-1867--ak--0125/prot_1867__ak__0125-000.jp2/_view ,1,0.0,0.0,"N:o 2, i anledning af förslag angående tryckningen af Riksdagens handlingar ; samt",143.65256124721603,132.24085365853657,918.1514476614699,165.77743902439025
