id,file,page_link,page_number,marginal_text,merged,text_line
i-AjQQFHozwzdJoonbS2SRPi,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,1.0,0.0,422 Den 16 Mej.
i-NuCjgdCjTGksE1K8hQJ8Ad,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,0.0,0.0,och verkadt lända till ett älskadt fosterlands sanna väl; måtte Gud bevara Konung och fädernesland.
i-CXt96fY7kHceWM49fAG5XU,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,0.0,0.0,Härå svarade Friherre Sprengtporten:
i-94R7Y8s5MkaxWAwqaxWink,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,0.0,0.0,Första Kammaren utbeder sig att få besvara Herr Grefvens och Talmannens helsning med ett uttryck af sin odelade tacksamhet för nike utmärkta iedning af Kammarens förhandlingar vid nu afslutade riksmöte.
i-S7hrPT7AWBgw6gAokz2MVW,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,0.0,0.0,"Under Herr Grefvens och Talmannens ordförandeskap har arbetet känts lätt och ett efterdöme af allvar och humanitet lemnats oss, hvilket vi bevara som ett det angenämaste minnet af vår sammanvaro."
i-LSBmSBJPFm9hE6GMVDGrbD,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,0.0,0.0,"Vi återvända nu till våra hembygder, för att efter någon tid vara beredda på nya strider för det sanna och rätta, och förvara under tiden som underpant förhoppningen att få behålla ett rum i Herr Grefven och Talmannens vänskap och hågkomst."
i-YN3YyJfw61rsvP5BFXuoXv,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,0.0,0.0,Kammarens Herrar ledamöter åtskiljdes kl. 2 e. m.
i-8mHbDJ3azx1NuUMpEDfypE,riksdagen-records/data/1868/prot-1868--fk--0516.xml,https://betalab.kb.se/prot-1868--fk--0516/prot_1868__fk__0516-002.jp2/_view ,3,0.0,0.0,In fidem. O. Brakel.
i-7v4qivFzxUNSCmsjEaBVTU,riksdagen-records/data/1869/prot-1869--fk--0322.xml,https://betalab.kb.se/prot-1869--fk--0322/prot_1869__fk__0322-000.jp2/_view ,1,1.0,0.0,Den 22 Mars. 265
i-MdbPHMvqaNW6RjHKALavWJ,riksdagen-records/data/1869/prot-1869--fk--0322.xml,https://betalab.kb.se/prot-1869--fk--0322/prot_1869__fk__0322-000.jp2/_view ,1,0.0,0.0,Måndagen den 22 Mars 1869.
