id,file,page_link,page_number,marginal_text,merged,text_line
i-6dUxGoGZAYcbHHwNadYP1E,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,1.0,0.0,Onsdagen den 31 mars 1971
i-V52DrBcXtjRGYJhp8cVGyJ,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,1.0,0.0,Utrikesoch han-
i-JnyAWTk4wq32bpe9GqdMFH,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,1.0,0.0,delspolitisk debatt
i-MJVjtWz93gkJQi1RTMVYjq,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,1.0,0.0,118
i-RW7XReZimaYha7udjSki8r,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,0.0,0.0,"ett avtal som är anpassat just efter de nuvarande bestämmelserna men där varje liten framtida förändring måste bli föremål för omfattande förhandlingar. Det skapar svårigheter — inte minst i fråga om jordbrukspolitiken — vilka de som varit med i förhandlingarna säkerligen känner bättre till än jag. Vad vi då riskerar är att viktiga områden kommer att undantas, t. ex. papper."
i-3mvgqzTEVHXrSDEvuucBSQ,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,0.0,0.0,Den tredje möjligheten — ett mer lösligt handelsavtal — torde det vara svårt att få någon glädje av om det skall träffas i överensstämmelse med de GATT-regler som regeringen och EEC är överens om skall vara vägledande.
i-81oyb8xNB8UcnrzuWS82MV,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,0.0,0.0,"Jag vill här anknyta till vad LO:s ordförande nyss sade. Om vi inte får en lösning eller om vi får en lösning som inte är tillfredsställande kommer det att få menlig inverkan på ekonomin och sysselsättningen här i landet. Nog tror jag att vi får någon form av uppgörelse med EEC, Men risken är att vi får en uppgörelse som är av det slag som Landsorganisationens ordförande sade skulle ha en menlig inverkan på vår ekonomi och vår sysselsättning. Det är därför som det, som jag ser det, är så utomordentligt viktigt att det kan skapas en bred svensk opinion för att bygga upp en plattform för förhandlingar."
i-M4Rfhm35hCUJFukqpXBssj,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,0.0,0.0,"Det är klart att en uppgörelse inte bara kan innebära ekonomiska fördelar, Arne Geijer insåg detta redan 1961 då han i ett föredrag sade, att det kommer att bli svåra förhandlingar, att vi troligen får acceptera uppgörelser som på många punkter kommer att framstå som uppoffringar för oss men att vi ändå måste räkna med att en uppgörelse med EEC kommer att vara till fördel som helhet tagen."
i-Uh2WhAxwgtocyofD8tPjcK,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,0.0,0.0,"Fördelarna med ett EEC-samarbete får inte komma bara vissa grupper till godo lika litet som de bördor som kan uppstå genom ett EEC-samarbete bara skall bäras av några små grupper. Syftet måste vara dels att — som vi sade — ge ett bidrag till en fredlig framstegspolitik i Europa, dels att i vårt land skapa ökade resurser för social reformpolitik och för samarbete med utvecklingsländerna; vi får se denna fråga ur solidaritetssynpunkt. Det är därför som jag tycker att det vore viktigt att få till stånd, som jag sagt i något tidigare sammanhang, en folkrörelse för EEC-samverkan på neutralitetspolitikens grund."
i-71emapjT1YEEcvcsowbkcP,riksdagen-records\data\1971\prot-1971--055.xml,https://betalab.kb.se/prot-1971--55/prot_1971__55-018.jp2/_view ,19,0.0,0.0,"När jag lyssnat till debatten tidigare i dag har jag blivit litet konfunderad, När vi från oppositionens sida säger att vi är villiga att med den nya utgångspunkten ställa oss bakom regeringen och gemensamt med regeringen bygga upp en stark förhandlingsposition, har man börjat söka strid om andra saker. Vi säger att medlemskap i EEC nu inte är möjligt. Men då begär man inte bara att vi skall precisera detta — vilket vi gjort med klarhet från första början när diskussionen uppstod — utan man vill att vi skall utfärda något slags ofelbarhetsintyg för regeringen och tydligen också ge någon blank check för kommande förhandlingar. Handelsministern kan vara lugn för att vi kommer att stå för vårt ståndpunktstagande. Men vi kommer inte att skriva under några blanka checkar. Vi kommer att följa förhandlingarna med stor uppmärksamhet. Vi kommer att ge det bidrag som vi till äventyrs kan ge för att stärka förhandlingspositionen. Mycket beror ju nu på det engagemang, den energi och den skicklighet varmed regeringen driver förhandlingarna. Där har regeringen ansvaret."
i-PaRfYXLBKwPDqvFfnT9E3T,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,Riksdagens protokoll
i-C6eUum4dLeTK9sFi9RcYfF,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,1.0,1.0,1979/80:169-172 11 juni-3 juli 1980
i-XtiHs1SYRkUYZ5Ak9ExwQU,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,Debatter m. m. Onsdagen den 11 juni kl. 09.00
i-AeD3RAXqFsYcNJg4UUwXXq,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,Den ekonomiika poltiltt; 1; I... ss ss ense cb RONNA 3 Förlängning av uppdrag som ersättare för riksdagsledamot... .. 142
i-3oK62K2N9XWiR2aNbqgsX4,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,Onsdagen den 11 juni kl. 19.30
i-9TKWQz8DC1zmJdLNMK3jP1,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,"Den ekonomiska politiken, m. m. (fOrts.)..........ssssssssss 143 Kreditpolitiska medel, M.M. ssossssesrerserereserrrrr era aa 184 Ändringar i reglerna för tillträde till högskoleutbildning ....... 186 Meddelande om justering av kammarens protokoll, m. m. ..... 192 Riksmötets avslutning 192 Samtliga avgjorda ärenden Onsdagen den 11 juni kl. 19.30 Finansutskottets betänkande 1979/80:40 om de allmänna riktlinjerna för den ekonomiska"
i-KA8pbAMqyDBTA5U81owxC9,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,politiken och för budgetregleringen m. m. samt om insatser för
i-6Gwf3FZ6HCaXPfCTdKbo4C,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,Att UNdSrlätta Nye IÖNGRVR vaseserersonsene Båt borkents ret 143 Skatteutskottets betänkande 1979/80:62 om slutlig reglering av statsbudgeten för budgetåret
i-KbiSpaapzCUgAviNnKg6HF,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,"1980/81, m. m., och om insatser för att underlätta nya löneav-"
i-QSy4cemKQ583McsKY3iFKR,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,"NIE ved LERA So SR ys ARR RONNA ST Rose SALTA SSRK 143 Finansutskottets betänkande 1979/80:48 om ändring i lagen om kreditpolitiska medel, m. m. . 184 Utbildningsutskottets betänkande 1979/80:38 om ändringar i reglerna för tillträde till högskoleutbild-"
i-WUmQAzVK3f5a91FBboNSW8,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,0.0,0.0,TALDD GE 2100 50 SAS SJS Sea FR SRA fe Bis SSA BARA 186
i-WL12gYC1Pm76MrTSJVN33L,riksdagen-records\data\197980\prot-197980--171.xml,https://betalab.kb.se/prot-197980--171/prot_197980__171-000.jp2/_view ,1,1.0,0.0,1 Riksdagens protokoll 1979/80:169-172
i-3dCzEyTEbrquwDu4m81ggJ,riksdagen-records\data\1970\prot-1970--ak--021.xml,https://betalab.kb.se/prot-1970--ak--21/prot_1970__ak__21-062.jp2/_view ,63,1.0,0.0,Onsdagen den 29 april 1970 fm.
i-AhFUw87gxtXBvovodMS37k,riksdagen-records\data\1970\prot-1970--ak--021.xml,https://betalab.kb.se/prot-1970--ak--21/prot_1970__ak__21-062.jp2/_view ,63,0.0,0.0,"mot det halvhjärtade och kraftlösa sätt, på vilket den socialdemokratiska regeringen drivit Europafrågan, och vi har uppfattat det som ett tecken på ett bristande verkligt engagemang."
i-SL2CvcWw7YP9R7ddd8wR14,riksdagen-records\data\1970\prot-1970--ak--021.xml,https://betalab.kb.se/prot-1970--ak--21/prot_1970__ak__21-062.jp2/_view ,63,0.0,0.0,"Denna kritik består. Jag skall emellertid inte nu ta upp tid med att gå igenom den i alla dess delar. Det är utan varje tvivel dessutom ett i väsentliga avseenden nytt läge vi nu befinner oss i, och den nya regeringen Palme skall inte så snart dömas för bristande engagemang i Europafrågan. Låt mig i stället säga några ord om vad dagens läge kräver och i vad mån regeringen i sitt handlande kan sägas svara mot dessa krav."
i-EPcLB55uVx9NnratAqaS4g,riksdagen-records\data\1970\prot-1970--ak--021.xml,https://betalab.kb.se/prot-1970--ak--21/prot_1970__ak__21-062.jp2/_view ,63,0.0,0.0,"För en realistisk bedömning av den nuvarande situationen är det nödvändigt att vi utgår från vår egen nordiska verklighet, med andra ord från den i så många avseenden starka och för alla parter värdefulla gemenskap, som finns mellan de nordiska länderna och som på viktiga områden stärkts under senare år."
i-VdHq7WY4A9mVAKYxkpqKhi,riksdagen-records\data\1970\prot-1970--ak--021.xml,https://betalab.kb.se/prot-1970--ak--21/prot_1970__ak__21-062.jp2/_view ,63,0.0,0.0,"I den nordiska ämbetsmannarapporten inför Nordeksamarbetet återspeglas på ett utmärkt sätt vari denna gemenskap består och hur den ytterligare skall kunna fördjupas. Vi har i den tillgång till en utförlig katalog över gemensamma nordiska problem, och denna redovisning bör kunna vara alla de nordiska länderna till stor hjälp vid kommande förhandlingar med EEC. även om det inte skulle bli fråga om ett gemensamt uppträdande, så gäller det i stor utsträckning gemensamma problem. De nordiska länderna måste därför vid kommande överläggningar eller direkta förhandlingar med EEC upprätthålla den intima kontakt som utvecklades under förarbetena på Nordek."
