id,file,page_link,page_number,marginal_text,merged,text_line,posLeft,posUpper,posRight,posLower,year,relative_page_number,even_page,second_chamber,unicameral
i-U18Dw2CuhkmYR3J5YvT1w8,riksdagen-records\data\1899\prot-1899--fk--030.xml,https://betalab.kb.se/prot-1899--fk--30/prot_1899__fk__30-010.jp2/_view ,11,0.0,0.0,"n:o 65, angående regleringen af utgifterna under riksstatens sjette hufvudtitel, innefattande anslagen till civildepartementet;",58.56353591160221,384.96583143507974,793.3701657458564,419.51404707668945,1899.0,625.0,1.0,0.0,0.0
i-Rp5YuGMmJ3BJk4NZiDepQE,riksdagen-records\data\1878\prot-1878--fk--028.xml,https://betalab.kb.se/prot-1878--fk--28/prot_1878__fk__28-012.jp2/_view ,13,0.0,0.0,Jag yrkar återremiss.,116.81715575620767,378.28825490922566,353.273137697517,394.22008151167097,1878.0,387.09677419354836,1.0,0.0,0.0
i-Lfx895NBD795uEUFpHsZo5,riksdagen-records\data\1969\prot-1969--ak--007.xml,https://betalab.kb.se/prot-1969--ak--7/prot_1969__ak__7-016.jp2/_view ,17,0.0,0.0,"Herr talman! Får jag för herr Fagerlunds information meddela — jag beklagar att mitt inlägg kommer sent men jag förutsatte att herr Fagerlund läst motionerna — att den motion han citerade i sitt förra anförande, I:423, gäller förberedelser för ett nytt försvarsbeslut och diskussion av formerna för en planering härför, medan den motion som berör anvisningar av medel för sysselsättning har beteck-",492.58474576271186,738.1457891012031,872.3516949152543,909.4125973106865,1969.0,333.3333333333333,1.0,1.0,0.0
i-2UrmaiaQfwyZut6MU7XZN3,riksdagen-records\data\1914\prot-1914-a-fk--026.xml,https://betalab.kb.se/prot-1914-a-fk--26/prot_1914_a_fk__26-003.jp2/_view ,4,0.0,0.0,"dels ock greve Hamilton, Alexander, vilken likväl ej antytt sin mening.",173.74301675977654,604.7220106626047,899.4413407821229,641.6603198781416,1914.0,46.875,0.0,0.0,0.0
i-ERyyEWK2RmEeGuRZA8eQwM,riksdagen-records\data\1881\prot-1881--fk--008.xml,https://betalab.kb.se/prot-1881--fk--8/prot_1881__fk__8-002.jp2/_view ,3,0.0,0.0,Fredagen den 18 Februari.,245.33634821933296,140.3109594235874,630.2996042962126,159.6511186954873,1881.0,1000.0,1.0,0.0,0.0
i-AW57d8nMrZCD4U6vZPayCf,riksdagen-records\data\1892\prot-1892--ak--016.xml,https://betalab.kb.se/prot-1892--ak--16/prot_1892__ak__16-029.jp2/_view ,30,0.0,0.0,"med fyra nya lokomotiv och tjugofem nya godsvagnar bör kunna transportera dessa 100,000 tons, som man har förhoppning på, så kan jag tryggt våga påstå, att det förslag, som vi framlagt, just tillgodoser transporten af dessa 100,000 tons, som herrarne anse vara det högsta möjliga under närmaste tiden.",183.27605956471933,105.64454614797864,927.8350515463918,186.88024408848207,1892.0,500.0,0.0,1.0,0.0
i-VMgT4CsMDkJZ1LYNdqrcWr,riksdagen-records\data\1882\prot-1882--ak--057.xml,https://betalab.kb.se/prot-1882--ak--57/prot_1882__ak__57-028.jp2/_view ,29,0.0,0.0,Norrbottens län.,62.252405206564795,115.19514967790829,229.20203735144312,128.07881773399015,1882.0,777.7777777777778,1.0,1.0,0.0
i-7w6YajrHzHSnXirFv7uU18,riksdagen-records\data\1939\prot-1939-urtima-ak--029.xml,https://betalab.kb.se/prot-1939-urtima-ak--29/prot_1939_urtima_ak__29-001.jp2/_view ,2,0.0,0.0,Den i detta memorial föreslagna voteringspropositionen godkändes.,185.126582278481,577.319587628866,881.8565400843881,591.1837895485247,1939.0,500.0,0.0,1.0,0.0
i-QHCkW378hPDaPDkCWGWSvT,riksdagen-records\data\1912\prot-1912--ak--046.xml,https://betalab.kb.se/prot-1912--ak--46/prot_1912__ak__46-048.jp2/_view ,49,0.0,0.0,Chefen för finansdepartementet herr statsrådet friherre Adelswärd:,62.85390713476784,284.35839028094153,804.0770101925256,300.3037205770691,1912.0,813.5593220338984,1.0,1.0,0.0
i-Tysz6uGSKd8LocxhaLAyrh,riksdagen-records\data\1928\prot-1928--ak--024.xml,https://betalab.kb.se/prot-1928--ak--24/prot_1928__ak__24-077.jp2/_view ,78,0.0,0.0,"Vidare skulle jag mot herr Lindqvist vilja säga ett enda ord. Han framhöll mot mig, att här ställdes samhällsnyttan emot släktgemenskapen, och han fann det då underligt, om man icke ville vara med om att samhällsnyttan skulle gynnas på allt möjligt sätt. Även om släktgemenskapen skulle lida, skulle vi vara glada över att samhället fick en förmån. Det kan ju mycket väl sägas, det låter så vackert. Men skall man draga ut konsekvenserna av detta, så blir det naturligtvis på det sättet, att man skulle söka håva in åt staten så mycket som möjligt av arven och tillgodose samhällsnyttan på så sätt, att man söker få till staten allt möjligt, som förut tillhört de enskilda. Det bleve naturligtvis då, vad någon sagt, ett verkligt beslagtagande av den enskildes tillhörigheter.",142.48704663212436,236.54390934844193,924.8704663212435,392.7053824362606,1928.0,754.9019607843137,0.0,1.0,0.0
