,id,file,page_link,page_number,marginal_text,merged,text_line,final_target
0,i-U18Dw2CuhkmYR3J5YvT1w8,riksdagen-records\data\1899\prot-1899--fk--030.xml,https://betalab.kb.se/prot-1899--fk--30/prot_1899__fk__30-010.jp2/_view ,11,0.0,0.0,"n:o 65, angående regleringen af utgifterna under riksstatens sjette hufvudtitel, innefattande anslagen till civildepartementet;",0.0
1,i-Rp5YuGMmJ3BJk4NZiDepQE,riksdagen-records\data\1878\prot-1878--fk--028.xml,https://betalab.kb.se/prot-1878--fk--28/prot_1878__fk__28-012.jp2/_view ,13,0.0,0.0,Jag yrkar återremiss.,0.0
2,i-Lfx895NBD795uEUFpHsZo5,riksdagen-records\data\1969\prot-1969--ak--007.xml,https://betalab.kb.se/prot-1969--ak--7/prot_1969__ak__7-016.jp2/_view ,17,0.0,0.0,"Herr talman! Får jag för herr Fagerlunds information meddela — jag beklagar att mitt inlägg kommer sent men jag förutsatte att herr Fagerlund läst motionerna — att den motion han citerade i sitt förra anförande, I:423, gäller förberedelser för ett nytt försvarsbeslut och diskussion av formerna för en planering härför, medan den motion som berör anvisningar av medel för sysselsättning har beteck-",0.0
3,i-2UrmaiaQfwyZut6MU7XZN3,riksdagen-records\data\1914\prot-1914-a-fk--026.xml,https://betalab.kb.se/prot-1914-a-fk--26/prot_1914_a_fk__26-003.jp2/_view ,4,0.0,0.0,"dels ock greve Hamilton, Alexander, vilken likväl ej antytt sin mening.",0.0
4,i-ERyyEWK2RmEeGuRZA8eQwM,riksdagen-records\data\1881\prot-1881--fk--008.xml,https://betalab.kb.se/prot-1881--fk--8/prot_1881__fk__8-002.jp2/_view ,3,0.0,0.0,Fredagen den 18 Februari.,0.0
5,i-AW57d8nMrZCD4U6vZPayCf,riksdagen-records\data\1892\prot-1892--ak--016.xml,https://betalab.kb.se/prot-1892--ak--16/prot_1892__ak__16-029.jp2/_view ,30,0.0,0.0,"med fyra nya lokomotiv och tjugofem nya godsvagnar bör kunna transportera dessa 100,000 tons, som man har förhoppning på, så kan jag tryggt våga påstå, att det förslag, som vi framlagt, just tillgodoser transporten af dessa 100,000 tons, som herrarne anse vara det högsta möjliga under närmaste tiden.",0.0
6,i-VMgT4CsMDkJZ1LYNdqrcWr,riksdagen-records\data\1882\prot-1882--ak--057.xml,https://betalab.kb.se/prot-1882--ak--57/prot_1882__ak__57-028.jp2/_view ,29,0.0,0.0,Norrbottens län.,0.0
7,i-7w6YajrHzHSnXirFv7uU18,riksdagen-records\data\1939\prot-1939-urtima-ak--029.xml,https://betalab.kb.se/prot-1939-urtima-ak--29/prot_1939_urtima_ak__29-001.jp2/_view ,2,0.0,0.0,Den i detta memorial föreslagna voteringspropositionen godkändes.,0.0
8,i-QHCkW378hPDaPDkCWGWSvT,riksdagen-records\data\1912\prot-1912--ak--046.xml,https://betalab.kb.se/prot-1912--ak--46/prot_1912__ak__46-048.jp2/_view ,49,0.0,0.0,Chefen för finansdepartementet herr statsrådet friherre Adelswärd:,0.0
9,i-Tysz6uGSKd8LocxhaLAyrh,riksdagen-records\data\1928\prot-1928--ak--024.xml,https://betalab.kb.se/prot-1928--ak--24/prot_1928__ak__24-077.jp2/_view ,78,0.0,0.0,"Vidare skulle jag mot herr Lindqvist vilja säga ett enda ord. Han framhöll mot mig, att här ställdes samhällsnyttan emot släktgemenskapen, och han fann det då underligt, om man icke ville vara med om att samhällsnyttan skulle gynnas på allt möjligt sätt. Även om släktgemenskapen skulle lida, skulle vi vara glada över att samhället fick en förmån. Det kan ju mycket väl sägas, det låter så vackert. Men skall man draga ut konsekvenserna av detta, så blir det naturligtvis på det sättet, att man skulle söka håva in åt staten så mycket som möjligt av arven och tillgodose samhällsnyttan på så sätt, att man söker få till staten allt möjligt, som förut tillhört de enskilda. Det bleve naturligtvis då, vad någon sagt, ett verkligt beslagtagande av den enskildes tillhörigheter.",0.0
10,i-REnEKBd1pThZiehYvdPZyQ,riksdagen-records\data\1932\prot-1932--ak--036.xml,https://betalab.kb.se/prot-1932--ak--36/prot_1932__ak__36-004.jp2/_view ,5,0.0,0.0,"andra kammarens fjärde tillfälliga utskotts utlåtande, nr 7, i anledning av väckt motion angående förhandlingsordning för i statens tjänst anställda befattningshavare; samt",0.0
11,i-Uea7tYQPAjXj9noWTb5ySb,riksdagen-records\data\1932\prot-1932--ak--044.xml,https://betalab.kb.se/prot-1932--ak--44/prot_1932__ak__44-062.jp2/_view ,63,0.0,0.0,"Herr Holmgren har framhållit betydelsen av flygtrafiken för näringslivet. Jag tror emellertid ändå, att de, som äro mest entusiastiska för denna lufttrafik, göra sig skyldiga till vissa överdrifter och överskatta nattpostflygningarnas betydelse. Jag skall icke här nämna några siffror. Jag vill endast understryka, att den postkvantitet, som befordras mellan Stockholm och Malmö, är utomordentligt ringa, jag skulle nästan vilja säga löjligt ringa. Den direkta inkomst, som staten har på denna luftposttrafik i form av särskilt luftporto, är praktiskt taget ingen. Detta kan väl icke vittna om att affärsvärlden själv anser, att denna flygning är av så utomordentligt överväldigande betydelse för näringslivet.",0.0
