id,file,page_link,page_number,marginal_text,merged,text_line
i-BU1WBqorir4GRC1cMFZLzN,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,"Den 9 Maj, f. m. 375"
i-GgHNJiLZJKBszHZzi5CNWd,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,"N:o 105, i anledning af Kamrarnes skiljaktiga beslut rörande Stats- Utskottets Utlåtande N:o 91 öfver Kongl. Maj:ts nådiga Proposition med förslag till utgiftsstater vid Statens jernvägstrafik för år 1869."
i-QKm6g4JLwBB9fvy5sUakEm,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,"Och beslöt Kammaren, att Stats-Utskottets nu sednast omförmälda Memorial N:o 105 skulle till vidare behandling förekomma näst efter den gemensamma votering, som blifvit utsatt att företagas vid början af morgondagens sammanträde."
i-3yCArLDYserQY1ZcJvCe5i,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,g 9.
i-TLxYvZZxp5rYHvh6SXg7GR,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,Ledighet från riksdagsgöromålen beviljades Herr A. von Proschwitz under 8 dagar från den 11 i denna månad.
i-RDFG6msDhZDjHnJgH1k1KC,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,Sammanträdet afslutades kl. 2 e. m.
i-Xwye7zFdjut29ia5GFXb4j,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,In fidem H. Husberg.
i-5EM3t8NPghsCMT7KvcCSAQ,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,Lördagen den 9 Maj. Kl. 10 f. m.
i-NN5mQcYhayzgZAnhXM8j3M,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,81
i-LvMxuEdpUhxQkK1GaVf52x,riksdagen-records\data\1868\prot-1868--ak--0508.xml,https://betalab.kb.se/prot-1868--ak--0508/prot_1868__ak__0508-028.jp2/_view ,29,0.0,0.0,"Upplästes för justering och godkändes det vid Kammarens sammanträde den 2 innevarande månad hållna protokoll äfvensom protokollsutdrag rörande de beslut, hvilka förliden gårdag af Kammaren fattats."
